algoritmo,n,m,comp_media_presente,comp_media_ausente,comp_max,tempo_s
seq_iter,1000,400,438.585,1000.000,1000,4.345000004e-06
seq_rec,1000,400,438.585,1000.000,1000,9.645000003e-06
seq_iter,2000,400,983.280,2000.000,2000,8.976666625e-06
seq_rec,2000,400,983.280,2000.000,2000,2.130500002e-05
seq_iter,4000,400,2056.190,4000.000,4000,1.820249997e-05
seq_rec,4000,400,2056.190,4000.000,4000,4.299083337e-05
seq_iter,8000,400,4037.240,8000.000,8000,3.620500007e-05
seq_rec,8000,400,4037.240,8000.000,8000,8.468166673e-05
seq_iter,16000,400,8002.060,16000.000,16000,7.231666668e-05
seq_rec,16000,400,8002.060,16000.000,16000,1.679408334e-04
seq_iter,24000,400,11700.015,24000.000,24000,1.074324999e-04
seq_rec,24000,400,11700.015,24000.000,24000,2.570583333e-04
seq_iter,32000,400,16450.990,32000.000,32000,1.465883333e-04
seq_rec,32000,400,16450.990,32000.000,32000,3.450900000e-04
seq_iter,48000,400,22997.095,48000.000,48000,2.176050000e-04
seq_rec,48000,400,22997.095,48000.000,48000,5.123441666e-04
seq_iter,64000,400,30979.530,64000.000,64000,2.862650000e-04
seq_rec,64000,400,30979.530,64000.000,64000,7.172466666e-04
bin_iter,1000,20000,8.993,9.985,10,2.343750000e-07
bin_rec,1000,20000,8.993,9.985,10,2.951175001e-07
bin_iter,2000,20000,9.956,10.977,11,2.651875000e-07
bin_rec,2000,20000,9.956,10.977,11,3.776375001e-07
bin_iter,4000,20000,10.981,11.976,12,2.922200001e-07
bin_rec,4000,20000,10.981,11.976,12,3.594000000e-07
bin_iter,8000,20000,11.980,12.976,13,3.287575001e-07
bin_rec,8000,20000,11.980,12.976,13,4.003825001e-07
bin_iter,16000,20000,12.976,13.975,14,3.677574999e-07
bin_rec,16000,20000,12.976,13.975,14,4.455975001e-07
bin_iter,32000,20000,13.978,14.976,15,4.053249999e-07
bin_rec,32000,20000,13.978,14.976,15,4.912024998e-07
bin_iter,64000,20000,14.995,15.976,16,4.351775002e-07
bin_rec,64000,20000,14.995,15.976,16,5.390450000e-07
bin_iter,128000,20000,15.972,16.976,17,4.824500001e-07
bin_rec,128000,20000,15.972,16.976,17,5.903149999e-07
bin_iter,256000,20000,16.980,17.977,18,5.287800002e-07
bin_rec,256000,20000,16.980,17.977,18,6.461975002e-07
bin_iter,512000,20000,17.964,18.980,19,5.880550001e-07
bin_rec,512000,20000,17.964,18.980,19,7.031100002e-07
bin_iter,1000000,20000,18.958,19.954,20,6.982350000e-07
bin_rec,1000000,20000,18.958,19.954,20,8.113499999e-07
ms_iter,1000,0,8725,0,0,2.909999981e-04
ms_rec,1000,0,8693,0,0,3.024999984e-04
ms_iter,2000,0,19480,0,0,6.323000009e-04
ms_rec,2000,0,19413,0,0,6.705999956e-04
ms_iter,4000,0,42900,0,0,1.358249999e-03
ms_rec,4000,0,42852,0,0,1.410500001e-03
ms_iter,8000,0,93796,0,0,2.969399997e-03
ms_rec,8000,0,93595,0,0,3.033949999e-03
ms_iter,16000,0,203464,0,0,6.476600002e-03
ms_rec,16000,0,203213,0,0,6.564050005e-03
ms_iter,32000,0,439123,0,0,1.419025001e-02
ms_rec,32000,0,438629,0,0,1.379715000e-02
ms_iter,64000,0,942235,0,0,2.940684999e-02
ms_rec,64000,0,941221,0,0,2.965075001e-02
ms_iter,128000,0,2012166,0,0,6.232633329e-02
ms_rec,128000,0,2010654,0,0,6.265366667e-02
ms_iter,256000,0,4280341,0,0,1.318423333e-01
ms_rec,256000,0,4276637,0,0,1.340240000e-01
ms_iter,512000,0,9071894,0,0,2.872510000e-01
ms_rec,512000,0,9064942,0,0,2.890416667e-01
ms_iter,1000000,0,18716363,0,0,7.125106667e-01
ms_rec,1000000,0,18674945,0,0,7.076766666e-01
total_sol1,1000,1000,750278,0,0,4.549999954e-03
total_sol2,1000,1000,18215,0,0,5.589999491e-04
total_sol1,2000,2000,3000781,0,0,1.805700001e-02
total_sol2,2000,2000,40401,0,0,1.188999973e-03
total_sol1,4000,4000,11926731,0,0,7.188700000e-02
total_sol2,4000,4000,88702,0,0,2.519000089e-03
total_sol1,8000,8000,48198731,0,0,3.014950000e-01
total_sol2,8000,8000,193634,0,0,5.531999981e-03
total_sol1,16000,16000,192078670,0,0,1.165170000e+00
total_sol2,16000,16000,419358,0,0,1.245299994e-02
total_sol1,32000,32000,770187769,0,0,4.685941000e+00
total_sol2,32000,32000,901933,0,0,2.740400005e-02
total_sol1,64000,64000,3070221341,0,0,1.861414100e+01
total_sol2,64000,64000,1932210,0,0,5.791099998e-02
